operation;cost_per_ha;SMK operation code;Finnish;
planting;100;NA;Istutus;
clearing;100;400;Raivaus;
mechanical_clearing;100;410;Mekaaninen raivaus;
mechanical_chemical_clearing;100;420;Mekaanis-kemiallinen raivaus;
prevention_of_aspen_saplings;100;440;Haavan vesottumisen ennakkotorjunta;
clearing_before_cutting;100;450;Raivaus ennen hakkuita;
complementary_planting;100;600;Täydennysistutus;
complementary_sowing;100;630;Täydennyskylvö;
mechanical_hay_prevention;100;640;Mekaaninen heinäntorjunta;
chemical_hay_prevention;100;650;Kemiallinen heinäntorjunta;
mechanical_clearing_other_species;100;660;Mekaaninen perkaus;
chemical_clearing_other_species;100;670;Kemiallinen perkaus;
mechanical_chemical_clearing_other_species;100;680;Mekaanis-kemiallinen perkaus;
hole_clearing;100;690;Reikäperkaus;
ditching;100;930;Uudisojitus;
reconditioning_ditching;100;940;Kunnostusojitus;
ditch_blocking;100;950;Ojien tukkiminen;
root_rot_prevention;100;990;Juurikäävän torjunta;
other_regeneration;100;999;Muu perustamistoimenpide;
soil_preparation;100;501;Maanpinnan käsittely;
scalping;100;510;Laikutus;
mounding_by_scalping;100;520;Laikkumätästys;
mounding_by_ground_turning;100;521;Kääntömätästys;
furrow_mounding;100;522;Naveromätästys;
harrowing;100;530;äestys;
ploughing;100;540;Auraus;
mounding_by_ditching;100;550;Ojitusmätästys;
field_preparation;100;560;Pellon muokkaus;
controlled_burning;100;570;Kulotus;
digger_scalping;100;580;Kaivurilaikutus;
soil_preparation_by_tree_stump_lifting;100;585;Muokkaus kantoja nostamalla;
cross_harrowing;100;590;Ristiinäestys;
